Variety;Soluble solids;citric;malic acid;glucose;fructose;glutamic acid;1-nitro-2-phenylethane;1-nitro-3-methylbutane;1-octen-3-one;1-pentanol;1-penten-3-ol;1-penten-3-one;2,5-dimethyl-4-hydroxy-3(2H)-furanone;2-butylacetate;2-ethylfuran;2-isobutylthiazole;2-methyl-1-butanol;2-methyl-2-butenal;2-methylbutyl acetate;2-methylbutyraldehyde;2-phenyl ethanol;3-methyl-1-butanol;3-methyl-1-pentanol;3-methyl-2-butenal;3-pentanone;4-carene;6-methyl-5-hepten-2-ol;6-methyl-5-hepten-2-one;b-cyclocitral;b-damascenone;benzaldehyde;benzothiazole;benzyl alcohol;benzyl cyanide;b-ionone;butyl acetate;cis-2-penten-1-ol;cis-3-hexen-1-ol;cis-3-hexenal;cis-3-hexenyl acetate;cis-4-decenal;eugenol;geranial;geranylacetone;guaiacol;heptaldehyde;hexanal;hexyl acetate;hexyl alcohol;isobutyl acetate;isopentyl acetate;isovaleraldehyde;isovaleric acid;isovaleronitrile;methional;methylsalicylate;neral;nonyl aldehyde;p-anisaldehyde;phenylacetaldehyde;prenyl acetate;propyl acetate;salicylaldehyde;trans,trans-2,4-decadienal;trans-2-heptenal;trans-2-hexenal;trans-2-pentenal;trans-3-hexen-1-ol
1;4.86667;3.66997;0.50105;16.48302;18.02876;1.64109;0.29936;3.17582;0.27464;8.57678;8.25066;2.19385;0.83848;2.09312;0.11195;2.21672;12.65903;6.99632;1.03332;3.78383;0.01824;30.28644;0.97996;0.43729;12.75016;0.05162;0.52105;6.07323;0.070016;0.007926;1.73722;0.17357;0.12394;0.12539;0.0556;0.362;2.02872;77.25488;56.47398;3.22125;1.86396;0.38549;0.30415;2.6769;2.03066;1.28872;101.60154;1.22579;57.94053;2.88475;0.31186;6.65637;0.23404;3.83559;0.05003;2.97104;0.16927;0.26318;0.00537;0.30359;0.01946;1.32899;1.17684;0.04317;0.77053;4.54883;1.50408;0.65383
2;4.7;4.37284;0.39035;15.94969;17.34323;1.49113;0.16884;3.69584;0.03419;2.39958;2.90631;1.56215;0.20048;0.45727;0.08729;1.23923;6.54924;8.42579;0.39616;3.8182;0.00614;20.19126;0.35242;0.3155;7.47528;0.02022;0.08148;1.77742;0.043481;0.004526;2.1083;0.21946;0.04996;0.08121;0.01749;0.12609;1.02477;12.73663;20.44191;0.71066;0.53086;0.31576;0.07181;0.39184;0.4154;0.55852;24.01964;0.08449;2.91293;0.42617;0.10895;11.79741;0.01722;4.18863;0.01015;0.2114;0.20433;0.08027;0.00344;0.08816;0.0047;0.32534;1.05333;0.00969;0.14783;0.50598;0.76234;0.18953
3;3.6333333333;3.7071895425;0.4081031308;7.0379084967;11.2777777778;1.6516129032;0.2151970026;20.7436168234;0.0378650867;4.6723410035;5.0917922711;0.4901458672;0.1094602122;0.2336882301;0.2487576665;5.7497905203;21.6076988155;15.0010253637;1.5106146459;4.2298719412;0.037963695;33.5221574904;1.0624887045;0.5613387994;5.6602291005;0.0451486497;0.2654571512;9.428156247;0.1660975988;0.010624447;0.741525551;0.0826209324;0.0719639439;0.0658489216;0.0418212595;0.2154001532;1.6646506196;76.7820284192;104.5213696612;2.2050241534;1.1744801353;1.1181097984;0.342186006;1.9219121166;2.3072060973;0.4510983835;209.9777793302;0.8141152383;36.4073568736;1.2797259844;0.1517842321;9.5214171583;0.0285187367;9.8991285465;0.1522462331;0.3256229391;0.2263618898;0.2286305712;0.0090875611;0.0995436689;0.0198163692;0.2871857557;1.1392880101;0.0075214631;0.1750518442;1.4189013508;0.5713049439;1.462235496
4;3.5333333333;4.3602836879;1.6014336918;5.3530864198;9.7128205128;1.3968665586;0.0835539879;19.9979481507;0.0431513378;2.289453291;5.5761613809;0.6850807843;0.0922873229;0.2305247811;0.2434441013;7.6711142233;11.2835650684;10.726250726;1.9632297137;3.7212136517;0.0486986189;27.5198092476;1.7533186024;0.3347416143;5.7886704104;0.0357162868;0.1293776477;2.8226802681;0.0923815121;0.0081024263;1.648522146;0.0578520607;0.840238087;0.0275514218;0.035423159;0.3214195641;1.9231474593;32.0385100959;136.7004893867;1.9042197892;0.3843416836;0.3644851806;0.1401363326;0.8439379352;0.9551470212;0.3441368979;112.5072737203;0.6726844914;8.0274515274;1.5497275064;0.4206155193;13.371901188;0.0200003263;9.509469584;0.1167308106;0.2076294415;0.1642675353;0.186393792;0.0291915999;0.0841627942;0.0334922311;0.4354984383;0.8921786385;0.0038739895;0.1459895576;2.6513210365;1.02040624;1.1294439197
5;4.66667;3.60533;1.27914;12.4683;17.184;1.4253;0.07106;2.53467;0.02231;2.48183;3.90423;1.57364;0.18854;0.22865;0.15279;2.17021;4.89776;5.21889;1.09202;4.04556;0.01529;20.40518;0.80142;0.21972;6.91228;0.02173;0.12401;2.16257;0.08632;0.005785;3.05592;0.13095;0.1119;0.05584;0.04252;0.28437;1.13931;34.92856;39.74276;2.57562;0.79781;0.11365;0.1135;0.84891;0.56524;0.95396;64.63755;0.72485;13.94545;0.65636;0.4691;13.66627;0.03745;5.16402;0.01441;0.26954;0.12069;0.14519;0.03117;0.07434;0.01364;0.32484;0.57884;0.01266;0.22823;1.502;1.30041;0.34955
6;4.6;3.7883161512;1.4309653916;13.0986666667;16.1444444444;5.767003367;0.2472923;4.9882777239;0.0384902218;3.7828079772;4.2892266366;1.2650534182;0.3295829475;0.083642116;0.0939905031;2.5488541303;3.9975486276;3.9191463287;0.353830333;2.7421821155;0.0139155507;14.304836798;1.2474290825;0.2558843798;5.1189025721;0.01854359;0.0232545551;2.3367197457;0.0532833541;0.0026996971;3.2969775925;0.0377633257;0.1877047335;0.060660767;0.0356738077;0.1426952356;1.2502613315;43.8506179378;46.7349631271;1.5832336349;0.853607643;0.1972537563;0.1191554544;1.3883349335;0.3657673608;1.2877937418;62.2455724829;0.3890488608;20.1838744779;0.2995901953;0.0808955757;3.5117851884;0.0366637216;4.8555517741;0.0685966426;0.0895814824;0.0815868068;0.1125358397;0.0092675611;0.1245767282;0.0105573962;0.2278314292;0.3724012928;0.0191988302;0.3316141298;3.5692098381;1.5253857386;0.6775740306
7;3.4;3.0696969697;0.8028673835;6.9530864198;9.9692307692;1.249098313;0.2544014353;17.9896302364;0.0320302338;2.9496701187;6.7947418746;0.8869971614;0.1072413399;0.1967500145;0.2054043504;5.3732126847;35.757648569;22.337950681;4.3361544726;5.9796005825;0.0154504265;52.0186505567;2.5698864057;0.7921022736;5.4681251091;0.0598306811;0.0915112066;3.5696030786;0.0831883852;0.002942032;2.3928633819;0.0840733782;0.147372058;0.0628259122;0.0347680844;0.5489349984;2.7126242916;35.6452901346;145.8480039422;1.5761195493;0.7892640359;2.2601663893;0.1513360879;0.9009209248;2.30099657;0.5594757523;135.031433936;1.0213049004;9.3740738312;3.4395722954;0.4698299496;14.1002928806;0.0170841986;9.20574146;0.1909605083;1.5424888905;0.2065686046;0.2135987918;0.0085762577;0.1457314598;0.043503149;0.8543341431;1.3899025185;0.0030859602;0.1563385171;2.8142560525;0.6813274788;0.9724544733
8;4.73333;5.28581;0.69754;15.26541;16.43922;1.16984;0.10632;3.23665;0.14369;3.78308;8.42611;1.81957;0.66532;0.09634;0.117;3.91493;10.42619;13.7621;0.92832;6.64311;0.01935;50.70176;1.05755;0.4169;13.25659;0.04749;0.40647;4.24359;0.073118;0.003999;2.22251;0.17384;0.38473;0.07872;0.05202;0.46107;1.53195;29.64879;27.54659;2.61496;0.95608;0.57791;0.14514;2.54762;1.54141;0.82373;25.39768;0.55383;6.53773;1.25361;1.36419;12.89685;0.18685;3.60744;0.04637;1.40541;0.11377;0.14545;0.00249;0.33036;0.01146;1.55533;0.7978;0.0521;0.40649;1.32098;0.98624;0.33453
9;3.9666666667;2.5375438596;1.0168498168;10.3146666667;11.7006802721;1.7452006981;0.3239964882;1.0284839571;0.0577212939;2.066491769;1.3042392932;0.0783448939;0.0978514997;0.1122708172;0.0490517178;1.7239657049;3.0795086035;1.8694738143;0.2208760378;3.6306409805;0.2496638476;13.6556587392;0.1031347833;0.165284711;1.5958262674;0.0033622375;0.1910698638;1.4170891783;0.0452198214;0.0072993182;1.027126597;0.0447627592;0.1771295756;0.1118655383;0.0176643689;0.091461117;0.2577004218;11.0946366238;10.8056501011;0.4512749747;0.2224731805;1.676924234;0.0717911374;0.4248133737;0.5082504934;0.3733840833;30.6901850032;0.1211165145;7.8203172846;0.2552216643;0.0698259989;3.9787149662;0.005667364;1.5171202059;0.0632708093;0.0793024654;0.2345732208;0.0920375072;0.0075854676;0.082027161;0.0108680515;0.1102493403;0.7510934053;0.0042659749;0.1394377093;0.6251453885;0.2157957441;0.3877466454
10;4.0333333333;3.9818181818;0.4053149567;8.8197530864;12.0717948718;1.0806282723;0.0491090426;4.4839428491;0.0312194936;3.4570218876;5.8976545073;0.9522766774;0.1531159691;0.2551007251;0.1868148377;4.132338292;10.198831807;6.9425795286;2.2179162935;2.7507078761;0.0081229441;18.2582965598;0.8597733954;0.4784697948;3.9266284402;0.0348474809;0.0841022657;6.1826013697;0.036173772;0.0035726802;1.7220354747;0.0955101616;0.096332298;0.0564133392;0.0135202899;0.6598605282;1.546981486;43.4842231857;96.0531378342;3.1053228253;0.9604290907;0.0361892068;0.2027752949;6.9442970216;0.7016941494;0.8116065678;95.4556897868;1.1282370929;12.9885523007;1.5368789769;0.4073776089;4.3939866005;0.0275186332;4.0254515531;0.0986951574;0.1333111423;0.2360612985;0.2434653651;0.0077995537;0.0427679761;0.0566523493;0.4920385214;0.7655292449;0.0040823824;0.1650263698;1.977041625;0.7976739197;0.7917070276
